;;;;;;;;;;;;;;;;;;;;;;;;
 No.;Test Name;Type of Test;SCMFI;ILLUM.;Width;Height;No. Ips;FOI;ILLUM.;Width;Height;;L TOP X;L TOP Y;R TOP X;R TOP Y;L Bottom X;L Bottom Y;R Bottom X;R Bottom Y;Image Width;Image Height;Image Width;Image Height
1;ILLUMINATION III;Frontal;SCMFI-008-01-04.JPG;CIL;2592;1944;;SFI-CP1-270-330.JPG;CIL;190;230;CP;928;354;1118;354;928;584;1118;584;190;230;190;230
2;ILLUMINATION III;Frontal;SCMFI-008-01-04.JPG;CIL;2592;1944;;SFI-CV1-210-270.JPG;CIL;224;304;CV;760;836;984;836;760;1140;984;1140;224;304;224;304
3;ILLUMINATION III;Frontal;SCMFI-008-01-04.JPG;CIL;2592;1944;;SFI-DK1-264-324.JPG;CIL;300;400;DK;2240;702;2540;702;2240;1102;2540;1102;300;400;300;400
4;ILLUMINATION III;Frontal;SCMFI-008-01-04.JPG;CIL;2592;1944;;SFI-KV1-200-290.JPG;CIL;180;244;KV;1960;560;2160;560;1960;804;2140;804;180;244;200;244
5;ILLUMINATION III;Frontal;SCMFI-008-01-04.JPG;CIL;2592;1944;;SFI-MO1-274-342.JPG;CIL;280;304;MO;74;880;354;880;74;1184;354;1184;280;304;280;304
6;ILLUMINATION III;Frontal;SCMFI-008-01-04.JPG;CIL;2592;1944;;SFI-MS1-268-352.JPG;CIL;210;290;MS;322;448;532;448;322;738;532;738;210;290;210;290
7;ILLUMINATION III;Frontal;SCMFI-008-01-04.JPG;CIL;2592;1944;;SFI-MZ1-218-300.JPG;CIL;210;280;MZ;1242;488;1452;488;1242;768;1452;768;210;280;210;280
8;ILLUMINATION III;Frontal;SCMFI-008-01-04.JPG;CIL;2592;1944;;SFI-WS1-178-224.JPG;CIL;192;232;WS;1610;448;1802;448;1610;680;1802;680;192;232;192;232
9;ILLUMINATION III;Frontal;SCMFI-040-01-04.JPG;CIL;2592;1944;;SFI-CC1-200-230.JPG;CIL;180;190;CC;352;490;532;490;352;680;532;680;180;190;180;190
10;ILLUMINATION III;Frontal;SCMFI-040-01-04.JPG;CIL;2592;1944;;SFI-FP1-180-220.JPG;CIL;190;220;FP;1300;410;1490;410;1300;630;1490;630;190;220;190;220
11;ILLUMINATION III;Frontal;SCMFI-040-01-04.JPG;CIL;2592;1944;;SFI-AC1-154-220.JPG;CIL;160;210;AC;1920;466;2080;466;1920;676;2080;676;160;210;160;210
12;ILLUMINATION III;Frontal;SCMFI-040-01-04.JPG;CIL;2592;1944;;SFI-ES1-170-200.JPG;CIL;190;190;ES;864;494;1054;494;864;684;1054;684;190;190;190;190
13;ILLUMINATION III;Frontal;SCMFI-040-01-04.JPG;CIL;2592;1944;;SFI-AK1-190-250.JPG;CIL;140;170;AK;1618;516;1758;516;1618;686;1758;686;140;170;140;170
14;ILLUMINATION III;Frontal;SCMFI-076-01-04.JPG;CIL;2592;1944;;SFI-AL1-180-220.JPG;CIL;170;190;AL;1536;236;1706;236;1536;426;1706;426;170;190;170;190
15;ILLUMINATION III;Frontal;SCMFI-076-01-04.JPG;CIL;2592;1944;;SFI-GB1-164-208.JPG;CIL;200;240;GB;1580;686;1780;686;1580;926;1780;926;200;240;200;240
16;ILLUMINATION III;Frontal;SCMFI-076-01-04.JPG;CIL;2592;1944;;SFI-GK1-168-216.JPG;CIL;210;230;GK;614;698;824;698;614;928;824;928;210;230;210;230
17;ILLUMINATION III;Frontal;SCMFI-076-01-04.JPG;CIL;2592;1944;;SFI-JN1-212-264.JPG;CIL;190;220;JN;2044;312;2234;312;2044;532;2234;532;190;220;190;220
18;ILLUMINATION III;Frontal;SCMFI-076-01-04.JPG;CIL;2592;1944;;SFI-JP1-188-252.JPG;CIL;140;200;JP;326;440;466;440;326;640;466;640;140;200;140;200
19;ILLUMINATION III;Frontal;SCMFI-076-01-04.JPG;CIL;2592;1944;;SFI-NK1-178-218.JPG;CIL;220;240;NK;1072;712;1292;712;1072;952;1292;952;220;240;220;240
20;ILLUMINATION III;Frontal;SCMFI-076-01-04.JPG;CIL;2592;1944;;SFI-PR1-224-288.JPG;CIL;170;200;PR;668;370;838;370;668;570;838;570;170;200;170;200
;;;;;;;;;;;;;;;;;;;;;;;;
